k,sexo,chave,l,m,s
1000650,1,650,-0.3521,7.4327,0.08217
1000651,1,651,-0.3521,7.4563,0.08216
1000652,1,652,-0.3521,7.4799,0.08216
1000653,1,653,-0.3521,7.5034,0.08215
1000654,1,654,-0.3521,7.5269,0.08214
1000655,1,655,-0.3521,7.5504,0.08214
1000656,1,656,-0.3521,7.5738,0.08214
1000657,1,657,-0.3521,7.5973,0.08213
1000658,1,658,-0.3521,7.6206,0.08213
1000659,1,659,-0.3521,7.644,0.08213
1000660,1,660,-0.3521,7.6673,0.08212
1000661,1,661,-0.3521,7.6906,0.08212
1000662,1,662,-0.3521,7.7138,0.08212
1000663,1,663,-0.3521,7.737,0.08212
1000664,1,664,-0.3521,7.7602,0.08212
1000665,1,665,-0.3521,7.7834,0.08212
1000666,1,666,-0.3521,7.8065,0.08212
1000667,1,667,-0.3521,7.8296,0.08212
1000668,1,668,-0.3521,7.8526,0.08212
1000669,1,669,-0.3521,7.8757,0.08212
1000670,1,670,-0.3521,7.8986,0.08213
1000671,1,671,-0.3521,7.9216,0.08213
1000672,1,672,-0.3521,7.9445,0.08213
1000673,1,673,-0.3521,7.9674,0.08214
1000674,1,674,-0.3521,7.9903,0.08214
1000675,1,675,-0.3521,8.0132,0.08214
1000676,1,676,-0.3521,8.036,0.08215
1000677,1,677,-0.3521,8.0588,0.08215
1000678,1,678,-0.3521,8.0816,0.08216
1000679,1,679,-0.3521,8.1044,0.08217
1000680,1,680,-0.3521,8.1272,0.08217
1000681,1,681,-0.3521,8.15,0.08218
1000682,1,682,-0.3521,8.1727,0.08219
1000683,1,683,-0.3521,8.1955,0.08219
1000684,1,684,-0.3521,8.2183,0.0822
1000685,1,685,-0.3521,8.241,0.08221
1000686,1,686,-0.3521,8.2638,0.08222
1000687,1,687,-0.3521,8.2865,0.08223
1000688,1,688,-0.3521,8.3092,0.08224
1000689,1,689,-0.3521,8.332,0.08225
1000690,1,690,-0.3521,8.3547,0.08226
1000691,1,691,-0.3521,8.3774,0.08227
1000692,1,692,-0.3521,8.4001,0.08228
1000693,1,693,-0.3521,8.4227,0.08229
1000694,1,694,-0.3521,8.4454,0.0823
1000695,1,695,-0.3521,8.468,0.08231
1000696,1,696,-0.3521,8.4906,0.08232
1000697,1,697,-0.3521,8.5132,0.08233
1000698,1,698,-0.3521,8.5358,0.08235
1000699,1,699,-0.3521,8.5583,0.08236
1000700,1,700,-0.3521,8.5808,0.08237
1000701,1,701,-0.3521,8.6032,0.08238
1000702,1,702,-0.3521,8.6257,0.0824
1000703,1,703,-0.3521,8.648,0.08241
1000704,1,704,-0.3521,8.6704,0.08242
1000705,1,705,-0.3521,8.6927,0.08243
1000706,1,706,-0.3521,8.715,0.08245
1000707,1,707,-0.3521,8.7372,0.08246
1000708,1,708,-0.3521,8.7594,0.08248
1000709,1,709,-0.3521,8.7815,0.08249
1000710,1,710,-0.3521,8.8036,0.0825
1000711,1,711,-0.3521,8.8257,0.08252
1000712,1,712,-0.3521,8.8477,0.08253
1000713,1,713,-0.3521,8.8697,0.08254
1000714,1,714,-0.3521,8.8916,0.08256
1000715,1,715,-0.3521,8.9135,0.08257
1000716,1,716,-0.3521,8.9353,0.08259
1000717,1,717,-0.3521,8.9571,0.0826
1000718,1,718,-0.3521,8.9788,0.08262
1000719,1,719,-0.3521,9.0005,0.08263
1000720,1,720,-0.3521,9.0221,0.08264
1000721,1,721,-0.3521,9.0436,0.08266
1000722,1,722,-0.3521,9.0651,0.08267
1000723,1,723,-0.3521,9.0865,0.08269
1000724,1,724,-0.3521,9.1079,0.0827
1000725,1,725,-0.3521,9.1292,0.08272
1000726,1,726,-0.3521,9.1504,0.08273
1000727,1,727,-0.3521,9.1716,0.08274
1000728,1,728,-0.3521,9.1927,0.08276
1000729,1,729,-0.3521,9.2137,0.08277
1000730,1,730,-0.3521,9.2347,0.08278
1000731,1,731,-0.3521,9.2557,0.0828
1000732,1,732,-0.3521,9.2766,0.08281
1000733,1,733,-0.3521,9.2974,0.08283
1000734,1,734,-0.3521,9.3182,0.08284
1000735,1,735,-0.3521,9.339,0.08285
1000736,1,736,-0.3521,9.3597,0.08287
1000737,1,737,-0.3521,9.3803,0.08288
1000738,1,738,-0.3521,9.401,0.08289
1000739,1,739,-0.3521,9.4215,0.0829
1000740,1,740,-0.3521,9.442,0.08292
1000741,1,741,-0.3521,9.4625,0.08293
1000742,1,742,-0.3521,9.4829,0.08294
1000743,1,743,-0.3521,9.5032,0.08295
1000744,1,744,-0.3521,9.5235,0.08297
1000745,1,745,-0.3521,9.5438,0.08298
1000746,1,746,-0.3521,9.5639,0.08299
1000747,1,747,-0.3521,9.5841,0.083
1000748,1,748,-0.3521,9.6041,0.08301
1000749,1,749,-0.3521,9.6241,0.08302
1000750,1,750,-0.3521,9.644,0.08303
1000751,1,751,-0.3521,9.6639,0.08305
1000752,1,752,-0.3521,9.6836,0.08306
1000753,1,753,-0.3521,9.7033,0.08307
1000754,1,754,-0.3521,9.723,0.08307
1000755,1,755,-0.3521,9.7425,0.08308
1000756,1,756,-0.3521,9.762,0.08309
1000757,1,757,-0.3521,9.7814,0.0831
1000758,1,758,-0.3521,9.8007,0.08311
1000759,1,759,-0.3521,9.82,0.08312
1000760,1,760,-0.3521,9.8392,0.08312
1000761,1,761,-0.3521,9.8583,0.08313
1000762,1,762,-0.3521,9.8773,0.08314
1000763,1,763,-0.3521,9.8963,0.08314
1000764,1,764,-0.3521,9.9152,0.08315
1000765,1,765,-0.3521,9.9341,0.08315
1000766,1,766,-0.3521,9.9528,0.08316
1000767,1,767,-0.3521,9.9716,0.08316
1000768,1,768,-0.3521,9.9902,0.08317
1000769,1,769,-0.3521,10.0088,0.08317
1000770,1,770,-0.3521,10.0274,0.08317
1000771,1,771,-0.3521,10.0459,0.08318
1000772,1,772,-0.3521,10.0643,0.08318
1000773,1,773,-0.3521,10.0827,0.08318
1000774,1,774,-0.3521,10.1011,0.08318
1000775,1,775,-0.3521,10.1194,0.08318
1000776,1,776,-0.3521,10.1377,0.08318
1000777,1,777,-0.3521,10.1559,0.08318
1000778,1,778,-0.3521,10.1741,0.08318
1000779,1,779,-0.3521,10.1923,0.08317
1000780,1,780,-0.3521,10.2105,0.08317
1000781,1,781,-0.3521,10.2286,0.08317
1000782,1,782,-0.3521,10.2468,0.08316
1000783,1,783,-0.3521,10.2649,0.08316
1000784,1,784,-0.3521,10.2831,0.08315
1000785,1,785,-0.3521,10.3012,0.08315
1000786,1,786,-0.3521,10.3194,0.08314
1000787,1,787,-0.3521,10.3376,0.08313
1000788,1,788,-0.3521,10.3558,0.08313
1000789,1,789,-0.3521,10.3741,0.08312
1000790,1,790,-0.3521,10.3923,0.08311
1000791,1,791,-0.3521,10.4107,0.0831
1000792,1,792,-0.3521,10.4291,0.08309
1000793,1,793,-0.3521,10.4475,0.08308
1000794,1,794,-0.3521,10.466,0.08307
1000795,1,795,-0.3521,10.4845,0.08305
1000796,1,796,-0.3521,10.5031,0.08304
1000797,1,797,-0.3521,10.5217,0.08303
1000798,1,798,-0.3521,10.5405,0.08301
1000799,1,799,-0.3521,10.5592,0.083
1000800,1,800,-0.3521,10.5781,0.08298
1000801,1,801,-0.3521,10.597,0.08297
1000802,1,802,-0.3521,10.6161,0.08295
1000803,1,803,-0.3521,10.6352,0.08293
1000804,1,804,-0.3521,10.6544,0.08291
1000805,1,805,-0.3521,10.6737,0.0829
1000806,1,806,-0.3521,10.6931,0.08288
1000807,1,807,-0.3521,10.7126,0.08286
1000808,1,808,-0.3521,10.7322,0.08284
1000809,1,809,-0.3521,10.752,0.08282
1000810,1,810,-0.3521,10.7718,0.08279
1000811,1,811,-0.3521,10.7918,0.08277
1000812,1,812,-0.3521,10.8119,0.08275
1000813,1,813,-0.3521,10.8321,0.08273
1000814,1,814,-0.3521,10.8524,0.0827
1000815,1,815,-0.3521,10.8728,0.08268
1000816,1,816,-0.3521,10.8934,0.08265
1000817,1,817,-0.3521,10.9142,0.08263
1000818,1,818,-0.3521,10.935,0.0826
1000819,1,819,-0.3521,10.956,0.08258
1000820,1,820,-0.3521,10.9772,0.08255
1000821,1,821,-0.3521,10.9985,0.08252
1000822,1,822,-0.3521,11.0199,0.08249
1000823,1,823,-0.3521,11.0415,0.08246
1000824,1,824,-0.3521,11.0632,0.08244
1000825,1,825,-0.3521,11.0851,0.08241
1000826,1,826,-0.3521,11.1071,0.08238
1000827,1,827,-0.3521,11.1293,0.08235
1000828,1,828,-0.3521,11.1516,0.08231
1000829,1,829,-0.3521,11.174,0.08228
1000830,1,830,-0.3521,11.1966,0.08225
1000831,1,831,-0.3521,11.2193,0.08222
1000832,1,832,-0.3521,11.2422,0.08219
1000833,1,833,-0.3521,11.2651,0.08215
1000834,1,834,-0.3521,11.2882,0.08212
1000835,1,835,-0.3521,11.3114,0.08209
1000836,1,836,-0.3521,11.3347,0.08205
1000837,1,837,-0.3521,11.3581,0.08202
1000838,1,838,-0.3521,11.3817,0.08198
1000839,1,839,-0.3521,11.4053,0.08195
1000840,1,840,-0.3521,11.429,0.08191
1000841,1,841,-0.3521,11.4529,0.08188
1000842,1,842,-0.3521,11.4768,0.08184
1000843,1,843,-0.3521,11.5007,0.08181
1000844,1,844,-0.3521,11.5248,0.08177
1000845,1,845,-0.3521,11.549,0.08174
1000846,1,846,-0.3521,11.5732,0.0817
1000847,1,847,-0.3521,11.5975,0.08166
1000848,1,848,-0.3521,11.6218,0.08163
1000849,1,849,-0.3521,11.6462,0.08159
1000850,1,850,-0.3521,11.6707,0.08156
1000851,1,851,-0.3521,11.6952,0.08152
1000852,1,852,-0.3521,11.7198,0.08148
1000853,1,853,-0.3521,11.7444,0.08145
1000854,1,854,-0.3521,11.769,0.08141
1000855,1,855,-0.3521,11.7937,0.08138
1000856,1,856,-0.3521,11.8184,0.08134
1000857,1,857,-0.3521,11.8431,0.08131
1000858,1,858,-0.3521,11.8678,0.08128
1000859,1,859,-0.3521,11.8926,0.08124
1000860,1,860,-0.3521,11.9173,0.08121
1000861,1,861,-0.3521,11.9421,0.08118
1000862,1,862,-0.3521,11.9668,0.08114
1000863,1,863,-0.3521,11.9916,0.08111
1000864,1,864,-0.3521,12.0163,0.08108
1000865,1,865,-0.3521,12.0411,0.08105
1000866,1,866,-0.3521,12.0658,0.08102
1000867,1,867,-0.3521,12.0905,0.08099
1000868,1,868,-0.3521,12.1152,0.08096
1000869,1,869,-0.3521,12.1398,0.08093
1000870,1,870,-0.3521,12.1645,0.0809
1000871,1,871,-0.3521,12.1891,0.08087
1000872,1,872,-0.3521,12.2136,0.08084
