k,sexo,chave,l,m,s
1000450,1,450,-0.3521,2.441,0.09182
1000451,1,451,-0.3521,2.4577,0.09176
1000452,1,452,-0.3521,2.4744,0.0917
1000453,1,453,-0.3521,2.4911,0.09164
1000454,1,454,-0.3521,2.5078,0.09159
1000455,1,455,-0.3521,2.5244,0.09153
1000456,1,456,-0.3521,2.5411,0.09147
1000457,1,457,-0.3521,2.5578,0.09141
1000458,1,458,-0.3521,2.5744,0.09135
1000459,1,459,-0.3521,2.5911,0.09129
1000460,1,460,-0.3521,2.6077,0.09124
1000461,1,461,-0.3521,2.6244,0.09118
1000462,1,462,-0.3521,2.6411,0.09112
1000463,1,463,-0.3521,2.6578,0.09106
1000464,1,464,-0.3521,2.6745,0.091
1000465,1,465,-0.3521,2.6913,0.09094
1000466,1,466,-0.3521,2.7081,0.09088
1000467,1,467,-0.3521,2.7249,0.09083
1000468,1,468,-0.3521,2.7417,0.09077
1000469,1,469,-0.3521,2.7586,0.09071
1000470,1,470,-0.3521,2.7755,0.09065
1000471,1,471,-0.3521,2.7925,0.09059
1000472,1,472,-0.3521,2.8095,0.09053
1000473,1,473,-0.3521,2.8266,0.09047
1000474,1,474,-0.3521,2.8437,0.09042
1000475,1,475,-0.3521,2.8609,0.09036
1000476,1,476,-0.3521,2.8782,0.0903
1000477,1,477,-0.3521,2.8955,0.09024
1000478,1,478,-0.3521,2.9129,0.09018
1000479,1,479,-0.3521,2.9304,0.09012
1000480,1,480,-0.3521,2.948,0.09007
1000481,1,481,-0.3521,2.9657,0.09001
1000482,1,482,-0.3521,2.9835,0.08995
1000483,1,483,-0.3521,3.0014,0.08989
1000484,1,484,-0.3521,3.0195,0.08983
1000485,1,485,-0.3521,3.0377,0.08977
1000486,1,486,-0.3521,3.056,0.08972
1000487,1,487,-0.3521,3.0745,0.08966
1000488,1,488,-0.3521,3.0931,0.0896
1000489,1,489,-0.3521,3.1119,0.08954
1000490,1,490,-0.3521,3.1308,0.08948
1000491,1,491,-0.3521,3.1499,0.08943
1000492,1,492,-0.3521,3.1691,0.08937
1000493,1,493,-0.3521,3.1884,0.08931
1000494,1,494,-0.3521,3.2079,0.08925
1000495,1,495,-0.3521,3.2276,0.08919
1000496,1,496,-0.3521,3.2473,0.08913
1000497,1,497,-0.3521,3.2672,0.08908
1000498,1,498,-0.3521,3.2873,0.08902
1000499,1,499,-0.3521,3.3075,0.08896
1000500,1,500,-0.3521,3.3278,0.0889
1000501,1,501,-0.3521,3.3482,0.08884
1000502,1,502,-0.3521,3.3688,0.08878
1000503,1,503,-0.3521,3.3894,0.08872
1000504,1,504,-0.3521,3.4102,0.08867
1000505,1,505,-0.3521,3.4311,0.08861
1000506,1,506,-0.3521,3.4522,0.08855
1000507,1,507,-0.3521,3.4733,0.08849
1000508,1,508,-0.3521,3.4946,0.08843
1000509,1,509,-0.3521,3.5161,0.08837
1000510,1,510,-0.3521,3.5376,0.08831
1000511,1,511,-0.3521,3.5593,0.08825
1000512,1,512,-0.3521,3.5812,0.08819
1000513,1,513,-0.3521,3.6032,0.08813
1000514,1,514,-0.3521,3.6254,0.08807
1000515,1,515,-0.3521,3.6477,0.08801
1000516,1,516,-0.3521,3.6702,0.08795
1000517,1,517,-0.3521,3.6929,0.08789
1000518,1,518,-0.3521,3.7157,0.08783
1000519,1,519,-0.3521,3.7388,0.08777
1000520,1,520,-0.3521,3.762,0.08771
1000521,1,521,-0.3521,3.7855,0.08765
1000522,1,522,-0.3521,3.8092,0.08759
1000523,1,523,-0.3521,3.833,0.08753
1000524,1,524,-0.3521,3.8571,0.08747
1000525,1,525,-0.3521,3.8814,0.08741
1000526,1,526,-0.3521,3.9059,0.08735
1000527,1,527,-0.3521,3.9306,0.08729
1000528,1,528,-0.3521,3.9555,0.08723
1000529,1,529,-0.3521,3.9806,0.08717
1000530,1,530,-0.3521,4.006,0.08711
1000531,1,531,-0.3521,4.0315,0.08705
1000532,1,532,-0.3521,4.0572,0.08699
1000533,1,533,-0.3521,4.0831,0.08693
1000534,1,534,-0.3521,4.1092,0.08687
1000535,1,535,-0.3521,4.1354,0.08681
1000536,1,536,-0.3521,4.1619,0.08675
1000537,1,537,-0.3521,4.1885,0.08669
1000538,1,538,-0.3521,4.2153,0.08663
1000539,1,539,-0.3521,4.2422,0.08657
1000540,1,540,-0.3521,4.2693,0.08651
1000541,1,541,-0.3521,4.2965,0.08645
1000542,1,542,-0.3521,4.3239,0.08639
1000543,1,543,-0.3521,4.3513,0.08633
